ADM3_PCODE,inhabitants_100m,inhabitants_inside5km_events,exposed_to_conflict_indicator
BF570202,40688.24440741539,15566.846757411957,0.3825883122785931
BF570203,44746.78694963455,0.0,0.0
BF570204,13094.36375451088,0.0,0.0
BF570205,10975.530037641525,0.0,0.0
BF570206,26292.106002807617,0.0,0.0
BF570207,9074.834156513214,0.0,0.0
BF570208,26017.77365708351,3082.142189979553,0.11846294885190607
BF570301,40663.000579833984,9532.855008602142,0.23443560171823066
BF570302,16630.172463417053,5461.082630634308,0.3283840045945141
BF570303,11510.644575595856,3374.675736427307,0.2931786933619758
BF570304,19268.33179450035,0.0,0.0
BF570305,13071.761768341064,4397.772172451019,0.3364330111264826
BF570401,11763.126635551453,5311.799979686737,0.4515636143568322
BF570402,21287.964784145355,809.8053574562073,0.03804052504161066
BF570403,59356.1404504776,3524.129406929016,0.05937261722515955
BF570404,68129.02986097336,31269.320962905884,0.4589720567974508
BF570405,19555.274425029755,4349.147084712982,0.2224027640924484
BF570406,67876.91144323349,5991.551753520966,0.08827083652048301
BF570407,74510.92532205582,14431.20204114914,0.19367900718953213
BF570408,12465.844933748245,67.87218904495239,0.005444652119906043
BF570409,27295.533838510513,7072.62969326973,0.2591130745093233
BF570410,10306.403195858002,4444.972881317139,0.43128264990675996
ML010107,26871.992314338684,0.0,0.0
ML010102,18182.065280675888,0.0,0.0
ML010113,39680.93364953995,2001.449643611908,0.050438572370514585
ML010112,9664.97368478775,0.0,0.0
ML010110,10574.049715042114,0.0,0.0
ML010104,18537.711906671524,0.0,0.0
ML010103,41094.86380696297,0.0,0.0
ML010101,22114.410320281982,5142.272585630417,0.2325303958439371
ML010106,9666.153366565704,0.0,0.0
ML010108,15236.246097564697,0.0,0.0
ML010109,30636.0540163517,2325.0443906784058,0.07589242365996077
ML010105,15101.476457357407,0.0,0.0
ML010111,25325.199998021126,0.0,0.0
ML010212,22762.169912338257,0.0,0.0
ML010205,15215.676926374435,0.0,0.0
ML010202,34626.21493554115,0.0,0.0
ML010201,28631.363887786865,69.20208287239075,0.0024170026668519948
ML010215,5909.193610668182,0.0,0.0
ML010211,6020.184178709984,0.0,0.0
ML010210,16142.148363351822,0.0,0.0
ML010207,6979.593301534653,0.0,0.0
ML010203,14496.005962729454,924.0835998058319,0.06374746272743917
ML010214,19172.793097257614,0.0,0.0
ML010204,41881.073792696,18094.912940979004,0.43205465625226475
ML010208,12691.740242958069,0.0,0.0
ML010209,11269.454395771027,4002.1580109596252,0.3551332540518975
ML010213,20402.428921937943,0.0,0.0
ML010206,21176.894478797913,2698.749225139618,0.12743838469052096
ML010306,3153.435033798218,0.0,0.0
ML010325,29470.127190828323,0.0,0.0
ML010324,30886.569630384445,0.0,0.0
ML010316,28476.797931194305,0.0,0.0
ML010305,13397.130169391632,7909.69287276268,0.5904020318346926
ML010304,29619.19148159027,0.0,0.0
ML010302,13956.447011470795,0.0,0.0
ML010308,4907.979411363602,0.0,0.0
ML010319,23533.35626935959,0.0,0.0
ML010307,10175.990484952927,0.0,0.0
ML010313,19111.322105884552,0.0,0.0
ML010323,14486.556107759476,0.0,0.0
ML010317,24881.195198774338,7450.740833997726,0.2994526900526368
ML010312,206363.418541193,206249.5720999241,0.9994483206273974
ML010328,10584.189619064331,0.0,0.0
ML010322,18065.736045122147,0.0,0.0
ML010321,69503.5973739624,17394.923999786377,0.25027372189375197
ML010318,12553.244144201279,0.0,0.0
ML010310,7981.571249246597,0.0,0.0
ML010303,13845.902935385704,0.0,0.0
ML010315,8216.4091091156,0.0,0.0
ML010320,9912.949934005737,0.0,0.0
ML010314,35487.31025362015,24270.016884088516,0.6839069151940776
ML010311,17345.62156832218,0.0,0.0
ML010327,10527.957353830338,3152.083954334259,0.2994012844464507
ML010309,24656.018193364143,851.6722424030304,0.034542164745491925
ML010326,8792.333503723145,0.0,0.0
ML010301,19768.049714803696,7778.561939954758,0.393491621691422
ML010407,3853.6851811408997,0.0,0.0
ML010409,41447.005417227745,16887.013310194016,0.40743627049048053
ML010405,20125.5657864213,0.0,0.0
ML010412,57001.561735510826,19063.0892264843,0.334430998837149
ML010411,17377.348940074444,0.0,0.0
ML010401,17054.975046873093,0.0,0.0
ML010404,5576.718892931938,0.0,0.0
ML010403,20493.848851323128,87.12721133232117,0.004251383523144118
ML010408,19139.106045007706,0.0,0.0
ML010402,21942.170663833618,0.0,0.0
ML010406,8056.362646281719,0.0,0.0
ML010410,18192.305616140366,0.0,0.0
ML010527,14466.1213388443,0.0,0.0
ML010511,14213.9867978096,0.0,0.0
ML010526,50820.42607283592,4089.721046924591,0.08047396220297712
ML010528,18062.382241606712,0.0,0.0
ML010513,65717.60737633705,65717.60737633705,1.0
ML010524,5718.905329704285,0.0,0.0
ML010522,13023.66987657547,0.0,0.0
ML010509,34227.10857248306,0.0,0.0
ML010508,8948.400279641151,0.0,0.0
ML010505,14965.01302599907,0.0,0.0
ML010501,7520.180780887604,0.0,0.0
ML010518,12694.232940554619,0.0,0.0
ML010512,34089.92618846893,3054.190083503723,0.08959215888642247
ML010531,12626.786573052406,0.0,0.0
ML010514,10722.739218950272,1916.6643645763397,0.17874764325043208
ML010506,12852.574787855148,0.0,0.0
ML010521,12758.103068232536,0.0,0.0
ML010516,16105.406080365181,0.0,0.0
ML010517,29630.73268043995,0.0,0.0
ML010519,17759.81426382065,0.0,0.0
ML010507,18843.987851381302,0.0,0.0
ML010510,16034.698541641235,0.0,0.0
ML010503,11168.325345754623,1949.8009774684906,0.17458311045797584
ML010529,7668.018805027008,0.0,0.0
ML010530,11076.533559560776,0.0,0.0
ML010532,13483.833975076675,0.0,0.0
ML010533,6519.561235189438,146.43845212459564,0.022461396839743096
ML010520,8125.683086156845,0.0,0.0
ML010525,4732.375795960426,657.5227324962616,0.13894136071305357
ML010523,14381.451267004013,0.0,0.0
ML010502,10520.11736536026,628.4119002819061,0.059734305089702414
ML010504,6013.735368967056,810.6494886875153,0.13479966093465728
ML010515,20844.478840589523,2468.2582244873047,0.11841304564933404
ML010615,13322.488260626793,12.189520835876465,9.149582718643713E-4
ML010612,34576.36902189255,5847.361082077026,0.16911437630639242
ML010609,22214.783090233803,0.0,0.0
ML010607,9950.377032637596,0.0,0.0
ML010605,20667.712270736694,224.40563988685608,0.010857788077715348
ML010602,10239.265452861786,0.0,0.0
ML010601,5770.989075422287,0.0,0.0
ML010614,13589.014872074127,0.0,0.0
ML010611,16508.751512527466,1271.9585456848145,0.07704753110612902
ML010610,44378.99825978279,39614.00330591202,0.892629506281828
ML010613,27899.00895833969,0.0,0.0
ML010606,15151.336109161377,6040.794688463211,0.39869716076132694
ML010603,7844.079706430435,0.0,0.0
ML010616,10852.245745182037,0.0,0.0
ML010608,10865.663980960846,27.571284770965576,0.0025374689314225838
ML010604,16698.539447546005,0.0,0.0
ML010706,44666.042154312134,0.0,0.0
ML010711,15619.584057569504,0.0,0.0
ML010712,13785.166771292686,0.0,0.0
ML010708,14886.803129732609,0.0,0.0
ML010707,6982.407741785049,4883.381657123566,0.6993836277849811
ML010705,50891.23147511482,12098.522574663162,0.2377329497435956
ML010703,10199.55720448494,0.0,0.0
ML010702,25208.36816072464,0.0,0.0
ML010710,6102.268262624741,0.0,0.0
ML010709,7262.336902618408,6325.918004751205,0.8710581854816484
ML010704,16039.529103517532,0.0,0.0
ML010701,11546.066941857338,31.569542407989502,0.002734224785545122
ML020109,13805.187866210938,3347.0919241905212,0.24245174760589375
ML020107,4641.237215995789,1821.828858613968,0.3925308649028167
ML020106,34367.88955426216,0.0,0.0
ML020105,14713.47303199768,0.0,0.0
ML020104,49748.95722436905,16875.071373462677,0.3392045243753689
ML020102,10720.489021062851,0.0,0.0
ML020101,36989.79944038391,20486.413492679596,0.5538395396194927
ML020108,17496.383939743042,4455.039307832718,0.2546262886763187
ML020103,41701.09074687958,1851.4276676177979,0.0443975837192301
ML020219,27356.488309144974,0.0,0.0
ML020204,12548.621028661728,0.0,0.0
ML020212,30670.67365384102,0.0,0.0
ML020205,10222.812086582184,0.0,0.0
ML020210,7928.416423797607,0.0,0.0
ML020217,27205.78754401207,0.0,0.0
ML020209,73309.58041095734,62066.387697935104,0.8466340599687603
ML020218,20942.852124929428,0.0,0.0
ML020221,18771.19474673271,0.0,0.0
ML020220,14666.332178115845,0.0,0.0
ML020201,38488.14141511917,0.0,0.0
ML020223,25235.586740016937,0.0,0.0
ML020213,19209.543574094772,0.0,0.0
ML020203,25985.30487394333,0.0,0.0
ML020216,22197.613030672073,0.0,0.0
ML020222,20089.728837013245,0.0,0.0
ML020207,39813.024143218994,0.0,0.0
ML020214,17380.307574152946,0.0,0.0
ML020208,17992.391882419586,0.0,0.0
ML020202,9173.820839643478,0.0,0.0
ML020206,42695.9653608799,0.0,0.0
ML020211,56114.58669304848,28590.3664124012,0.5094997236421417
ML020215,60042.750953912735,9517.761204004288,0.1585164079392344
ML020309,4184.591842710972,0.0,0.0
ML020304,6245.221202135086,0.0,0.0
ML020308,12538.380351185799,1583.9012724757195,0.1263242323260615
ML020307,15458.300000071526,87.35602355003357,0.00565107570364331
ML020301,8328.061661243439,216.71525382995605,0.026022292178561862
ML020302,8526.971592068672,3527.801983475685,0.413722732084279
ML020303,18868.591170728207,0.0,0.0
ML020305,16938.359634637833,28.92749261856079,0.0017078095661285859
ML020306,21315.60875403881,10430.644055485725,0.4893430056746262
ML020424,21944.109583616257,0.0,0.0
ML020427,23946.671068668365,0.0,0.0
ML020428,60225.57195687294,29669.482943058014,0.49263928891043324
ML020436,20049.088886976242,0.0,0.0
ML020420,93683.07946109772,0.0,0.0
ML020432,243031.886125803,138882.66224884987,0.5714586034894148
ML020437,13719.102742433548,0.0,0.0
ML020401,82865.59252810478,33118.75465500355,0.3996683502114699
ML020423,49049.122628331184,0.0,0.0
ML020434,12201.59178352356,0.0,0.0
ML020403,15875.949999332428,0.0,0.0
ML020422,22499.099771022797,0.0,0.0
ML020405,12590.1852414608,0.0,0.0
ML020418,118039.05993038416,115671.85823690891,0.9799456070315085
ML020433,28210.230540513992,15109.520958185196,0.5356043062634929
ML020426,9896.023744106293,0.0,0.0
ML020416,10663.500081777573,0.0,0.0
ML020413,13733.015361785889,0.0,0.0
ML020410,16874.040662527084,0.0,0.0
ML020404,12347.955511569977,0.0,0.0
ML020421,119495.17924785614,0.0,0.0
ML020430,15259.453910112381,0.0,0.0
ML020408,155184.63982135057,154333.77353608608,0.9945170714946787
ML020406,12855.87452763319,0.0,0.0
ML020412,15440.733929634094,0.0,0.0
ML020414,13980.686766028404,0.0,0.0
ML020435,9614.905065536499,0.0,0.0
ML020419,5988.829340577126,0.0,0.0
ML020402,25279.07978594303,0.0,0.0
ML020425,11166.867605924606,0.0,0.0
ML020431,54813.95301234722,0.0,0.0
ML020415,646057.0978078842,110532.64151358604,0.1710880383307154
ML020411,48608.761816740036,9353.805320262909,0.19243043786072364
ML020407,27190.17107105255,9858.144352912903,0.3625627925308705
ML020417,21533.93254172802,8337.726964116096,0.3871901682593004
ML020429,23754.781677484512,5624.340257406235,0.23676665749940995
ML020409,11180.643711566925,0.0,0.0
ML020501,37515.99358129501,6640.089603424072,0.17699356913033312
ML020509,20989.55623626709,0.0,0.0
ML020510,13833.521700620651,0.0,0.0
ML020507,9259.451706886292,0.0,0.0
ML020506,21672.063413858414,0.0,0.0
ML020505,19429.53471827507,0.0,0.0
ML020504,37470.04395365715,0.0,0.0
ML020503,50787.60425615311,16197.688113927841,0.31892995054921164
ML020508,17911.093043088913,1064.1231385469437,0.05941140141402711
ML020502,27056.95992398262,0.0,0.0
ML020605,33159.250342965126,15724.193126440048,0.47420231048064093
ML020609,15831.915757417679,0.0,0.0
ML020601,26283.07890844345,0.0,0.0
ML020606,41193.426164865494,7028.600192308426,0.17062431670962167
ML020604,52641.13597488403,47906.52246546745,0.9100586751836901
ML020602,7958.2764637470245,0.0,0.0
ML020608,10555.563575029373,0.0,0.0
ML020607,43308.47856426239,0.0,0.0
ML020603,23066.14419221878,0.0,0.0
ML020707,35918.669703722,5843.322920799255,0.16268205278754388
ML020706,10631.77544939518,0.0,0.0
ML020711,22716.264381170273,11535.584665060043,0.5078116926047929
ML020710,32365.50336909294,5806.463048696518,0.1794028346316817
ML020709,38498.2223212719,22619.389329195023,0.5875437348881652
ML020708,13143.521197080612,1141.6934552192688,0.08686359143034345
ML020705,36559.87078976631,0.0,0.0
ML020704,42847.869802474976,3657.879651784897,0.08536899660700543
ML020703,44847.522840976715,6406.251949548721,0.14284516833325286
ML020702,17710.38335967064,0.0,0.0
ML020701,14408.886248350143,0.0,0.0
ML030122,21259.978671073914,0.0,0.0
ML030111,20880.621591091156,0.0,0.0
ML030101,9116.363010883331,0.0,0.0
ML030126,47572.25159430504,4529.61933016777,0.09521557585283644
ML030112,7312.205180883408,2246.5849738121033,0.3072376825099822
ML030105,7813.150613069534,0.0,0.0
ML030108,2850.832157611847,0.0,0.0
ML030104,11624.939157485962,0.0,0.0
ML030116,18333.48524582386,0.0,0.0
ML030102,79886.88877749443,70222.50139427185,0.8790241110760942
ML030120,29207.04044985771,86.45244455337524,0.0029599864697621705
ML030103,15840.630764007568,0.0,0.0
ML030124,15655.08581161499,0.0,0.0
ML030109,12123.90830898285,0.0,0.0
ML030115,7436.218720197678,0.0,0.0
ML030121,11973.027698636055,0.0,0.0
ML030117,6274.292564868927,0.0,0.0
ML030110,45817.14652109146,1488.6661117076874,0.032491462798155596
ML030107,18654.793179392815,1517.3625626564026,0.08133901823862463
ML030125,11413.522384166718,0.0,0.0
ML030113,6519.194658756256,1648.2841029167175,0.2528355401541546
ML030114,67221.52890253067,0.0,0.0
ML030123,12189.787922501564,0.0,0.0
ML030118,31306.566146612167,12900.160431861877,0.4120592584778853
ML030119,47806.97155380249,0.0,0.0
ML030106,39774.80546915531,0.0,0.0
ML030209,68698.1219959259,45865.56931209564,0.6676393470379827
ML030207,156023.9824130535,26156.89789867401,0.16764664953511424
ML030202,9573.711096525192,0.0,0.0
ML030201,3783.576201438904,0.0,0.0
ML030205,8382.209571361542,0.0,0.0
ML030208,13627.169367790222,0.0,0.0
ML030206,46897.3307056427,0.0,0.0
ML030203,70556.4322206974,5469.899936199188,0.07752517756410333
ML030204,75284.73708415031,45534.75132584572,0.6048337696251601
ML030310,7635.532747507095,0.0,0.0
ML030305,38554.55158019066,0.0,0.0
ML030308,6598.796738147736,0.0,0.0
ML030306,65388.628195524216,0.0,0.0
ML030301,9246.649732112885,0.0,0.0
ML030302,48007.83465409279,12166.854465961456,0.2534347685878018
ML030311,11208.80261683464,0.0,0.0
ML030309,13769.029119491577,0.0,0.0
ML030312,7356.913407087326,0.0,0.0
ML030307,6210.821341991425,0.0,0.0
ML030303,18338.40576195717,0.0,0.0
ML030304,21771.906592845917,0.0,0.0
ML030422,26297.50012612343,0.0,0.0
ML030409,8255.028249025345,0.0,0.0
ML030412,21664.822937726974,74.88904809951782,0.0034567117541083867
ML030421,3580.2465936541557,0.0,0.0
ML030423,43173.02365875244,31370.448807001114,0.7266215369801045
ML030405,19780.836453676224,0.0,0.0
ML030410,31272.778379678726,0.0,0.0
ML030419,37163.50349068642,14726.114894866943,0.396252062149024
ML030425,7306.914865016937,0.0,0.0
ML030433,19158.019105911255,0.0,0.0
ML030413,37672.71025824547,0.0,0.0
ML030434,24594.07017850876,6113.087018251419,0.24855938744101286
ML030402,9119.55710721016,0.0,0.0
ML030403,13705.400775194168,1755.6463047266006,0.12809886653619057
ML030427,18148.421212911606,0.0,0.0
ML030404,12706.304183483124,0.0,0.0
ML030406,14155.2935693264,0.0,0.0
ML030417,11114.894554138184,0.0,0.0
ML030420,10970.745640158653,3903.173686861992,0.3557801643467459
ML030426,29874.294269561768,15340.224281311035,0.5134924407884954
ML030428,20634.042058467865,0.0,0.0
ML030430,6923.510670781136,0.0,0.0
ML030431,6587.6272802352905,0.0,0.0
ML030435,8248.957483291626,0.0,0.0
ML030407,15798.367999315262,0.0,0.0
ML030408,11487.847754955292,17.394545793533325,0.0015141692477627217
ML030415,8647.948913812637,0.0,0.0
ML030418,13678.49953866005,0.0,0.0
ML030429,6567.788866758347,0.0,0.0
ML030432,5088.1426656246185,0.0,0.0
ML030411,17454.197901010513,0.0,0.0
ML030436,17559.142951607704,0.0,0.0
ML030416,226763.683863163,205927.620272398,0.9081155181649889
ML030424,10324.541150808334,49.336626291275024,0.004778578105372977
ML030414,17344.272607326508,0.0,0.0
ML030401,6093.266704440117,0.0,0.0
ML030541,4772.761027097702,0.0,0.0
ML030533,5186.0370581150055,0.0,0.0
ML030520,27949.778004407883,0.0,0.0
ML030540,6517.9906088113785,0.0,0.0
ML030506,5758.701560974121,0.0,0.0
ML030531,41931.75954890251,14108.217518091202,0.33645660639729724
ML030532,13306.994438648224,0.0,0.0
ML030524,18418.546543836594,2.383406639099121,1.294025363742223E-4
ML030514,9859.290083646774,0.0,0.0
ML030523,12443.038283586502,0.0,0.0
ML030501,9149.763920545578,0.0,0.0
ML030538,8883.49052786827,0.0,0.0
ML030539,5651.922778606415,0.0,0.0
ML030537,3956.028208255768,0.0,0.0
ML030535,13805.00388765335,0.0,0.0
ML030534,11521.989615440369,0.0,0.0
ML030505,6763.476461052895,0.0,0.0
ML030530,8347.966837882996,0.0,0.0
ML030529,4964.0737606287,0.0,0.0
ML030528,11140.738563776016,0.0,0.0
ML030525,18683.670900583267,0.0,0.0
ML030522,8579.779978752136,0.0,0.0
ML030521,11168.533903598785,0.0,0.0
ML030507,15367.864840388298,0.0,0.0
ML030504,13358.804173111916,0.0,0.0
ML030519,30710.992809295654,11393.587636232376,0.37099379062677995
ML030518,16170.727188587189,0.0,0.0
ML030517,10728.637078285217,0.0,0.0
ML030513,10314.13416314125,0.0,0.0
ML030510,8339.368470907211,0.0,0.0
ML030508,15867.773933768272,0.0,0.0
ML030502,12659.554579257965,0.0,0.0
ML030511,17514.343376636505,1638.6189477443695,0.0935586857301329
ML030512,21629.069006443024,0.0,0.0
ML030526,34972.31291770935,626.5585327148438,0.017915844862453057
ML030543,7476.184726715088,0.0,0.0
ML030527,4168.576332092285,0.0,0.0
ML030503,43960.02117097378,1073.5417091846466,0.024420864244112148
ML030509,14139.636553049088,0.0,0.0
ML030516,7607.772650241852,0.0,0.0
ML030536,331674.0192306042,278421.8286087513,0.8394441905778938
ML030515,30789.525666475296,0.0,0.0
ML030542,11631.254749298096,0.0,0.0
ML030609,18382.512363433838,0.0,0.0
ML030611,61379.40829730034,24572.3485622406,0.4003353770245024
ML030605,29269.812044620514,3061.1632924079895,0.10458431669261775
ML030607,11997.443828582764,2245.8579652309418,0.18719470558223408
ML030610,14101.168017148972,0.0,0.0
ML030612,11357.322710037231,6099.620889902115,0.537065032457999
ML030608,6199.700179696083,0.0,0.0
ML030601,36016.97810292244,0.0,0.0
ML030602,4796.959627866745,0.0,0.0
ML030603,10724.877038955688,0.0,0.0
ML030604,8998.212210416794,2450.6585705280304,0.2723494971246646
ML030606,31240.62884068489,8368.010859012604,0.267856671569776
ML030707,14097.305333852768,0.0,0.0
ML030701,29373.715451955795,12395.014185667038,0.4219763824545982
ML030702,19607.853254795074,0.0,0.0
ML030703,21241.05788218975,0.0,0.0
ML030704,36878.54799222946,0.0,0.0
ML030705,76392.06848597527,25559.741463661194,0.3345863251281601
ML030706,19478.354951143265,5763.628565788269,0.29589914447318244
ML030708,30353.303644180298,0.0,0.0
ML030709,32301.66729903221,8790.87844657898,0.27214937127540667
ML040102,24381.5554356575,833.7788105010986,0.03419711317029901
ML040103,9914.046145558357,0.0,0.0
ML040101,50203.53579378128,18010.067024946213,0.3587410077833028
